budget,original_language,popularity,runtime,revenue,Comedy,Drama,Family,Romance,Thriller,Action,Animation,Adventure,Horror,Documentary,Music,Crime,ScienceFiction,Mystery,Foreign,Fantasy,War,Western,History,TVMovie,ParamountPictures,UnitedArtists,Metro-Goldwyn-Mayer(MGM),WaltDisneyPictures,other_countries,TwentiethCenturyFoxFilmCorporation,Canal+,NewLineCinema,UniversalPictures,StudioCanal,WarnerBros.,ColumbiaPicturesCorporation,TriStarPictures,ColumbiaPictures,TouchstonePictures,RegencyEnterprises,MiramaxFilms,VillageRoadshowPictures,RelativityMedia,US,IN,CA,GB,DE,FR,JP,IT,CN,HK,RU,ES,AU,English,other_spoken_languages,duringcreditsstinger,womandirector,murder,independentfilm,basedonnovel,J.K.Simmons,SamuelL.Jackson,MorganFreeman,BruceWillis,LiamNeeson,other,SusanSarandon,RobertDeNiro
0,en,10.54375,98.0,22642033,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
15000000,en,20.726578,122.0,356296601,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
53000000,en,13.314232999999998,118.0,95226116,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
102000000,en,20.666063,145.0,358372926,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
500000,sr,1.018477,97.0,198,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
26000000,en,6.336926999999999,85.0,57891803,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,4.1835580000000006,111.0,1234254,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
8000000,en,6.496258999999999,96.0,1749457,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
32000000,en,11.359658999999999,87.0,85167639,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,
80000000,en,12.000579,130.0,136159423,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
4000000,en,7.99229,95.0,36690067,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
0,en,7.820786999999999,116.0,100345,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,1.323333,92.0,17011,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
0,en,7.434577,87.0,4947717,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,1.252367,95.0,8403433,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
10000000,en,4.305734999999999,110.0,13835130,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,
11000000,en,10.841891,93.0,7847000,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
6000000,en,6.759181,84.0,5849647,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
45000000,en,7.81862,89.0,94935764,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,
13000000,fr,16.086919,112.0,426480871,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
0,fr,5.69586,117.0,36000000,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,
90000000,en,13.412445000000002,106.0,146936910,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,8.254856,125.0,7171,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
140000000,en,9.718111,91.0,258022233,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
30000000,en,8.234382,94.0,40346186,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,2.100499,105.0,151559,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,
50000000,en,13.676444,127.0,189859560,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,
0,en,0.32926,90.0,92100,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
3800000,en,3.055936,123.0,14873,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,2.941626,118.0,163000,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
3000000,en,9.718713000000001,126.0,16217773,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
25000000,en,2.9719990000000003,108.0,24362772,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
6000000,en,9.383088,92.0,1020921,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,
15000000,en,5.615303,88.0,47175038,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,
3906840,it,2.382068,95.0,4300000,,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
80000000,en,16.646029000000002,91.0,660940780,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
44000000,en,20.328822,167.0,155760117,,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,
0,en,8.984386,94.0,653951,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
38000000,en,8.105708,118.0,120000000,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
560000,nl,1.572904,102.0,1500000,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
12000000,en,4.473326999999999,160.0,25333333,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,1.012665,97.0,11000000,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,5.410839,98.0,17514553,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
20000000,en,8.759801,107.0,46069568,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,9.122717999999999,95.0,36448200,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,fr,2.94798,97.0,1056938,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
125000000,en,17.038823999999998,125.0,238207122,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,1.8824459999999998,95.0,119563,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,
14000000,en,3.909079,95.0,25482931,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
150000000,en,23.065078,144.0,599045960,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,
4000000,en,1.8010709999999999,105.0,14400000,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,6.3816120000000005,124.0,25232289,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
5000000,en,7.743144,100.0,14000000,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
12000000,en,11.160699000000001,115.0,17654912,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
1500000,en,8.822275999999999,92.0,11806119,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
12000000,en,5.145185,108.0,204940,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,zh,6.303552,133.0,154120,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,
2000000,en,14.284787,129.0,13129846,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,
85000000,en,2.238808,104.0,158468292,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,
29000000,en,12.092096000000002,103.0,21126225,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,es,7.667491,126.0,16756372,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
11000000,en,8.290384,85.0,8266343,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,cs,0.9195559999999999,90.0,17393,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
445000,en,2.482536,84.0,2300000,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,
17000000,en,9.665251,106.0,24922237,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
500000,ta,0.660663,157.0,500000,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
6000000,en,10.451986,98.0,39846344,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,2.6333990000000003,122.0,35610100,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
1500000,en,6.636625,102.0,779820,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
15000000,en,4.9840800000000005,118.0,9237470,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,
10284523,en,4.3490459999999995,104.0,11588205,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
43000000,en,10.947957,104.0,91974818,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
28000000,en,7.482864999999999,116.0,40400657,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
2000000,en,10.239941,85.0,13101672,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
50000000,en,7.260574,109.0,152022101,,1.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
8000000,en,9.741644,105.0,106260000,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
7500000,cn,12.314278,91.0,32392047,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
20000000,en,13.655178,126.0,13162475,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,4.359884,109.0,140081992,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,
30000000,en,25.261865,111.0,180949000,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,it,3.83196,106.0,215339,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
35000000,en,1.690768,135.0,15000000,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
0,en,14.322814000000001,96.0,2724474,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
15000000,en,18.184055999999998,147.0,20117339,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,
0,ru,0.181963,72.0,14353,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
2500000,fr,2.942355,98.0,3358,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
0,ru,1.0421120000000001,158.0,73000,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
10500000,es,11.003515,90.0,23000000,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
6000000,en,5.529808,120.0,46616067,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
7000000,en,7.958502,91.0,9229401,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
60000000,en,11.93646,135.0,313542341,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,ko,1.066558,102.0,14961069,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
0,en,2.401289,121.0,5310554,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,tr,1.590383,117.0,149521495,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
10900000,en,13.454169,105.0,16505460,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
31000000,en,6.523155,105.0,15134293,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
72000000,en,20.755149,177.0,210000000,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
14000000,en,3.873796,97.0,18535191,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
15000000,en,3.210693,189.0,34562222,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
75000000,en,13.136791,123.0,67631903,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,
35000000,en,5.093704,111.0,22034832,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
100000000,en,11.696923,122.0,93820758,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
20000000,en,4.619593,106.0,51684798,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
93000000,en,32.070725,178.0,871368364,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,
25000000,en,5.00725,86.0,41604473,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
0,zh,1.6780130000000002,145.0,311,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,11.356011,100.0,253625427,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
0,en,4.304224,107.0,1796389,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
12716953,cn,6.183021,113.0,18814720,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
90000000,en,8.345985,90.0,347325802,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
